AC040977.2	0
AC040978.1	0
AC041005.1	16
AC041039.1	0
AC041040.1	0
AC044781.1	0
AC044784.1	0
AC044787.1	147
AC044792.1	0
AC044798.1	0
AC044798.2	0
AC044798.3	0
AC044802.1	10
AC044802.2	0
AC044810.1	0
AC044810.2	1
AC044810.3	0
AC044836.1	0
AC044839.1	0
AC044839.2	0
AC044839.3	0
AC044840.1	0
AC044849.1	6
AC044860.1	55
AC044860.2	0
AC044860.3	0
AC044873.1	0
AC044893.1	0
AC044893.2	0
AC044913.1	0
AC044913.2	7
AC046129.1	1
AC046130.1	0
AC046130.2	0
AC046130.3	20
AC046134.1	1
AC046134.2	96
AC046143.1	55
AC046143.2	4
AC046144.1	0
AC046158.1	0
AC046158.2	0
AC046158.3	0
AC046158.4	0
AC046168.1	0
AC046168.2	0
AC046174.1	0
AC046176.1	160
AC046185.1	0
AC046185.2	0
AC046185.3	1
AC046195.1	0
AC046195.2	0
AC048334.1	8
AC048337.1	0
AC048338.1	0
AC048338.2	0
AC048341.1	53
AC048341.2	41
AC048344.1	1
AC048344.2	0
AC048344.3	0
AC048344.4	9
AC048346.1	0
AC048347.1	0
AC048351.1	2
AC048351.2	0
AC048352.1	0
AC048380.1	0
AC048380.2	11
AC048380.3	0
AC048382.1	0
AC048382.2	0
AC048382.3	0
AC048382.4	0
AC048382.5	7
AC048382.6	4
AC048382.7	0
AC048383.1	0
AC048387.1	0
AC051618.1	0
AC051619.1	0
AC051619.10	0
AC051619.2	0
AC051619.3	0
AC051619.4	14
AC051619.5	3
AC051619.6	0
AC051619.7	0
AC051619.8	0
AC051619.9	0
AC051635.1	0
AC051649.1	1
AC051649.2	0
AC051649.3	0
AC053481.1	0
AC053481.2	7
AC053481.3	8
AC053481.4	0
AC053503.1	6
AC053503.2	0
AC053503.3	0
AC053503.4	6
AC053503.5	0
AC053503.6	0
AC053513.1	0
AC053513.2	9
AC053527.1	5
AC053527.2	8
AC053545.1	260
AC055714.1	2
AC055716.1	0
AC055716.2	17
AC055716.3	0
AC055717.1	0
AC055717.2	0
AC055717.3	0
AC055720.1	0
AC055720.2	0
AC055720.3	0
AC055731.1	0
AC055733.1	0
AC055733.2	0
AC055733.3	0
AC055733.4	0
AC055733.5	0
AC055736.1	2
AC055748.1	0
AC055753.1	0
AC055758.1	0
AC055758.2	0
AC055764.1	3
AC055764.2	3
AC055788.1	0
AC055788.2	0
AC055807.1	0
AC055811.1	0
AC055811.2	0
AC055811.3	0
AC055811.4	828
AC055822.1	7
AC055839.1	4
AC055839.2	57
AC055840.1	0
AC055845.1	0
AC055854.1	6
AC055855.1	0
AC055855.2	3
AC055855.3	0
AC055860.1	0
AC055866.1	0
AC055872.1	0
AC055872.2	0
AC055872.3	0
AC055874.1	0
AC055876.1	0
AC055876.2	0
AC055876.3	0
AC055876.4	0
AC055876.5	0
AC055878.1	0
AC058791.1	0
AC058822.1	0
AC058823.1	1
AC060234.1	0
AC060234.2	0
AC060234.3	0
AC060764.1	0
AC060764.2	0
AC060765.1	1
AC060765.2	0
AC060766.1	28
AC060766.2	0
AC060766.3	3
AC060766.4	13
AC060766.5	5
AC060766.6	3
AC060766.7	16
AC060771.1	0
AC060773.1	0
AC060780.1	335
AC060780.2	3
AC060780.3	15
AC060788.1	0
AC060798.1	0
AC060809.1	0
AC060812.1	0
AC060812.2	0
AC060814.1	0
AC060814.2	3
AC060814.3	0
AC060814.4	0
AC060814.5	0
AC060834.1	0
AC060834.2	0
AC061708.1	0
AC061709.1	0
AC061709.2	0
AC061709.3	0
AC061958.1	0
AC061961.1	0
AC061965.1	0
AC061965.2	0
AC061975.1	4
AC061975.2	0
AC061975.3	3
AC061975.4	0
AC061975.5	4
AC061975.6	0
AC061975.7	0
AC061975.8	4
AC061979.1	0
AC061992.1	0
AC061992.2	1
AC061997.1	0
AC061999.1	2
AC062004.1	0
AC062015.1	0
AC062016.1	0
AC062016.2	0
AC062020.1	0
AC062021.1	0
AC062022.1	0
AC062022.2	0
AC062028.1	0
AC062028.2	1
AC062029.1	42
AC062032.1	0
AC062037.1	5
AC062037.2	0
AC062037.3	5
AC062037.4	4
AC062039.1	0
AC063919.1	0
AC063919.2	0
AC063923.1	0
AC063923.2	0
AC063924.1	1
AC063926.1	0
AC063926.2	0
AC063926.3	0
AC063938.1	0
AC063943.1	0
AC063943.2	2
AC063944.1	4
AC063944.2	0
AC063944.3	0
AC063947.1	0
AC063947.2	16
AC063948.1	0
AC063949.1	0
AC063949.2	0
AC063950.1	6
AC063952.1	2
AC063952.2	0
AC063952.3	0
AC063952.4	0
AC063955.1	0
AC063960.1	0
AC063960.2	0
AC063961.1	0
AC063962.1	0
AC063965.1	0
AC063965.2	6
AC063976.1	0
AC063976.2	0
AC063976.3	0
AC063976.4	0
AC063977.1	0
AC063977.2	0
AC063977.3	0
AC063977.4	0
AC063977.5	0
AC063977.6	0
AC063977.7	0
AC063979.1	0
AC063979.2	6
AC063980.1	0
AC064799.1	737
AC064799.2	1
AC064801.1	5
AC064801.2	0
AC064802.1	0
AC064805.1	0
AC064805.2	0
AC064807.1	170
AC064807.2	0
AC064807.3	0
AC064807.4	5
AC064829.1	0
AC064834.1	0
AC064836.1	0
AC064836.2	0
AC064836.3	18
AC064836.4	13
AC064843.1	0
AC064847.1	1
AC064850.1	32
AC064852.1	1
AC064853.1	0
AC064853.2	0
AC064856.1	0
AC064859.1	0
AC064862.1	0
AC064862.2	0
AC064862.3	0
AC064862.4	0
AC064862.5	0
AC064862.6	0
AC064862.7	0
AC064869.1	0
AC064871.1	0
AC064871.2	0
AC064871.3	0
AC064872.1	0
AC064874.1	0
AC064875.1	0
AC066580.1	1
AC066585.1	0
AC066595.1	0
AC066595.2	0
AC066612.1	1
AC066612.2	0
AC066613.1	0
AC066613.2	0
AC066614.1	0
AC066615.1	0
AC066616.1	0
AC066616.2	0
AC066692.1	0
AC067747.1	0
AC067750.1	78
AC067751.1	4
AC067752.1	0
AC067773.1	0
AC067805.1	0
AC067817.1	0
AC067817.2	0
AC067819.1	0
AC067838.1	48
AC067852.1	0
AC067852.2	970
AC067852.3	10
AC067852.4	0
AC067852.5	28
AC067863.1	0
AC067863.2	0
AC067902.1	0
AC067904.1	0
AC067904.2	44
AC067904.3	0
AC067930.1	0
AC067930.2	5
AC067930.3	0
AC067930.4	1
AC067930.5	23
AC067930.8	0
AC067931.1	1
AC067931.2	0
AC067940.1	0
AC067942.1	3
AC067942.2	25
AC067942.3	3
AC067942.4	0
AC067945.1	0
AC067945.2	0
AC067945.3	1
AC067945.4	0
AC067956.1	0
AC067959.1	0
AC067960.1	0
AC067968.1	0
AC067968.2	0
AC067969.1	0
AC067969.2	0
AC068014.1	0
AC068020.1	0
AC068025.1	2
AC068025.2	1
AC068042.1	0
AC068044.1	0
AC068050.1	0
AC068051.1	0
AC068057.1	0
AC068057.2	6
AC068057.3	1
AC068057.4	0
AC068058.1	0
AC068075.1	0
AC068075.2	0
AC068112.1	0
AC068134.1	0
AC068134.2	0
AC068134.3	4
AC068134.4	0
AC068135.1	0
AC068135.2	0
AC068137.1	0
AC068137.2	0
AC068137.3	0
AC068137.4	0
AC068138.1	2
AC068189.1	0
AC068189.2	0
AC068193.1	1
AC068196.1	0
AC068205.1	0
AC068205.2	86
AC068205.3	0
AC068205.4	0
AC068213.1	0
AC068228.1	0
AC068228.2	3
AC068228.3	3
AC068228.4	1
AC068234.1	0
AC068234.2	5
AC068234.3	0
AC068254.1	0
AC068254.2	0
AC068276.1	0
AC068279.1	0
AC068279.2	3
AC068282.1	8
AC068282.2	1
AC068286.1	0
AC068286.2	0
AC068287.1	0
AC068295.1	0
AC068298.1	0
AC068299.1	0
AC068299.2	0
AC068305.1	0
AC068305.2	1
AC068308.1	0
AC068338.1	0
AC068338.2	88
AC068338.3	2
AC068385.1	8
AC068389.1	0
AC068389.2	0
AC068389.3	0
AC068397.1	0
AC068397.2	0
AC068408.1	0
AC068408.2	0
AC068413.1	0
AC068418.1	0
AC068418.2	0
AC068418.3	0
AC068442.1	0
AC068446.1	12
AC068446.2	0
AC068446.3	0
AC068448.1	0
AC068448.2	0
AC068472.1	0
AC068473.1	0
AC068473.2	0
AC068473.3	0
AC068473.4	0
AC068473.5	0
AC068481.1	0
AC068483.1	0
AC068489.1	0
AC068491.1	6
AC068491.2	0
AC068491.3	4
AC068492.1	0
AC068506.1	0
AC068522.1	3
AC068531.1	0
AC068531.2	0
AC068533.1	0
AC068533.2	0
AC068533.3	0
AC068533.4	0
AC068535.1	0
AC068535.2	0
AC068538.1	4
AC068544.1	0
AC068544.2	0
AC068547.1	0
AC068580.1	6
AC068580.2	0
AC068580.3	7
AC068580.4	1
AC068580.5	0
AC068587.1	0
AC068587.2	0
AC068587.3	0
AC068587.4	1
AC068587.5	0
AC068587.6	0
AC068587.7	0
AC068587.8	0
AC068594.1	0
AC068616.1	0
AC068616.2	0
AC068616.3	0
AC068620.1	9
AC068620.2	8
AC068620.3	3
AC068630.1	0
AC068631.1	0
AC068631.2	0
AC068631.3	0
AC068631.4	1
AC068633.1	0
AC068633.2	0
AC068643.1	0
AC068643.2	0
AC068647.1	0
AC068647.2	4
AC068657.1	0
AC068657.2	6
AC068658.1	0
AC068669.1	4
AC068672.1	0
AC068672.2	0
AC068672.3	0
AC068675.1	0
AC068688.1	0
AC068700.1	16
AC068700.2	3
AC068707.1	0
AC068714.1	0
AC068721.1	0
AC068722.1	0
AC068722.2	0
AC068724.1	0
AC068724.2	0
AC068724.3	0
AC068724.4	0
AC068724.5	0
AC068725.1	0
AC068726.1	0
AC068733.1	0
AC068733.2	0
AC068733.3	19
AC068756.1	0
AC068759.1	0
AC068760.1	12
AC068768.1	0
AC068769.1	0
AC068774.1	0
AC068775.1	0
AC068781.1	0
AC068787.1	0
AC068787.2	0
AC068787.3	0
AC068787.4	0
AC068787.5	0
AC068789.1	0
AC068790.1	0
AC068790.2	5
AC068790.3	3
AC068790.4	9
AC068790.5	12
AC068790.6	3
AC068790.7	3
AC068790.8	0
AC068790.9	1
AC068792.1	4
AC068792.2	0
AC068802.1	0
AC068831.1	0
AC068831.2	3
AC068831.3	0
AC068831.4	0
AC068831.5	1
AC068831.6	0
AC068831.7	27
AC068831.8	182
AC068858.1	0
AC068860.1	1
AC068867.1	0
AC068870.1	1
AC068870.2	38
AC068870.3	0
AC068875.1	0
AC068880.1	0
AC068880.2	0
AC068880.3	0
AC068880.4	0
AC068880.5	0
AC068888.1	140
AC068888.2	6
AC068896.1	0
AC068896.2	0
AC068896.3	1
AC068898.1	0
AC068898.2	0
AC068931.1	0
AC068944.1	0
AC068944.2	0
AC068946.1	3
AC068946.2	0
AC068946.3	0
AC068985.1	0
AC068985.2	211
AC068987.1	0
AC068987.2	0
AC068987.3	0
AC068989.1	4
AC068993.1	20
AC068993.2	0
AC069023.1	0
AC069029.1	0
AC069061.1	0
AC069061.2	0
AC069079.1	0
AC069113.1	0
AC069113.2	0
AC069113.3	0
AC069114.1	0
AC069114.2	0
AC069120.1	0
AC069133.1	0
AC069148.1	1
AC069152.1	0
AC069154.1	0
AC069155.1	0
AC069157.1	0
AC069157.2	0
AC069185.1	30
AC069200.1	0
AC069200.2	13
AC069200.3	1
AC069209.1	0
AC069209.2	0
AC069213.1	0
AC069213.2	0
AC069213.3	1
AC069214.1	0
AC069218.1	30
AC069218.2	0
AC069222.1	9
AC069223.1	0
AC069224.1	0
AC069224.2	12
AC069228.1	0
AC069234.1	3
AC069234.2	23
AC069234.3	2
AC069234.4	0
AC069234.5	11
AC069236.1	19
AC069240.1	0
AC069243.1	0
AC069257.1	0
AC069257.2	0
AC069257.3	1
AC069257.4	0
AC069262.1	0
AC069271.1	0
AC069272.1	0
AC069277.1	0
AC069277.2	0
AC069280.1	0
AC069280.2	0
AC069281.1	1
AC069281.2	0
AC069282.1	0
AC069285.1	0
AC069285.2	0
AC069285.3	0
AC069287.1	0
AC069287.2	0
AC069287.3	0
AC069288.1	0
AC069294.1	0
AC069304.1	0
AC069304.2	0
AC069304.3	0
AC069306.1	0
AC069307.1	11
AC069335.1	0
AC069360.1	29
AC069366.1	3
AC069366.2	0
AC069368.1	0
AC069368.2	1
AC069404.1	0
AC069410.1	0
AC069421.1	0
AC069421.2	0
AC069421.3	0
AC069431.1	5
AC069431.2	0
AC069437.1	0
AC069439.1	2
AC069439.2	0
AC069444.1	0
AC069444.2	0
AC069454.1	0
AC069483.1	0
AC069499.1	0
AC069499.2	25
AC069499.3	0
AC069503.1	39
AC069503.2	2
AC069503.3	0
AC069503.4	0
AC069503.5	1
AC069504.1	0
AC069509.1	0
AC069528.1	0
AC069528.2	2
AC069540.1	0
AC069540.2	0
AC069542.1	0
AC069542.2	0
AC069544.1	28
AC069545.1	0
AC069547.1	0
AC069547.2	4
AC069549.1	0
AC069549.2	0
AC072022.1	0
AC072022.2	1
AC072023.1	0
AC072026.1	0
AC072026.2	0
AC072026.3	0
AC072028.1	3
AC072039.1	0
AC072039.2	1
AC072046.1	0
AC072046.2	0
AC072052.1	0
AC072054.1	8
AC072061.1	27
AC072062.1	2
AC073023.1	0
AC073046.1	44
AC073046.2	0
AC073046.3	0
AC073046.4	11
AC073048.1	0
AC073050.1	0
AC073052.1	3
AC073052.2	3
AC073062.1	0
AC073063.1	10
AC073065.1	0
AC073065.2	0
AC073071.1	0
AC073072.1	28
AC073073.1	0
AC073073.2	43
AC073082.1	0
AC073089.1	0
AC073091.1	0
AC073091.2	0
AC073091.3	0
AC073091.4	0
AC073094.1	0
AC073107.1	37
AC073107.2	2
AC073109.1	3
AC073111.1	0
AC073111.2	0
AC073111.3	0
AC073111.4	15
AC073114.1	5
AC073114.2	0
AC073115.1	1
AC073115.2	0
AC073127.1	0
AC073130.1	1
AC073130.2	1
AC073130.3	16
AC073135.1	0
AC073136.1	56
AC073136.2	14
AC073137.1	0
AC073140.1	0
AC073140.2	0
AC073140.3	4
AC073143.1	0
AC073149.1	0
AC073150.1	1
AC073167.1	0
AC073172.1	0
AC073174.1	0
AC073176.1	0
AC073176.2	1
AC073188.1	0
AC073188.2	0
AC073188.3	0
AC073188.4	0
AC073188.5	0
AC073188.6	0
AC073195.1	0
AC073195.2	30
AC073210.1	1
AC073210.2	0
AC073210.3	0
AC073218.1	0
AC073225.1	0
AC073236.1	0
AC073254.1	0
AC073255.1	0
AC073257.1	4
AC073257.2	0
AC073261.1	0
AC073263.1	3
AC073263.2	0
AC073263.3	0
AC073264.1	0
AC073264.2	0
AC073264.3	0
AC073270.1	0
AC073270.2	47
AC073283.1	2
AC073283.2	0
AC073283.3	0
AC073288.1	0
AC073288.2	1
AC073308.1	0
AC073310.1	2
AC073311.1	0
AC073314.1	0
AC073316.1	5
AC073316.2	0
AC073316.3	0
AC073319.1	0
AC073320.1	0
AC073320.2	0
AC073321.1	0
AC073323.1	0
AC073324.1	0
AC073325.1	0
AC073325.2	0
AC073326.1	1
AC073326.2	0
AC073332.1	7
AC073333.1	0
AC073333.2	0
AC073335.1	0
AC073335.2	0
AC073336.1	0
AC073342.1	15
AC073342.2	0
AC073342.3	0
AC073343.1	3
AC073343.2	3
AC073346.1	0
AC073346.2	5
AC073347.1	0
AC073348.1	0
AC073348.2	0
AC073349.1	0
AC073349.2	0
AC073349.3	0
AC073349.4	0
AC073349.5	0
AC073352.1	8
AC073352.2	0
AC073358.1	0
AC073359.1	0
AC073359.2	0
AC073365.1	0
AC073367.1	0
AC073370.1	2
AC073387.1	0
AC073387.2	0
AC073389.1	24
AC073389.2	0
AC073389.3	24
AC073409.1	0
AC073409.2	0
AC073410.1	5
AC073413.1	0
AC073413.2	0
AC073415.1	11
AC073418.1	0
AC073429.1	0
AC073429.2	0
AC073439.1	2
AC073464.1	0
AC073464.2	0
AC073465.1	0
AC073465.2	0
AC073475.1	15
AC073476.1	0
AC073476.2	0
AC073476.3	13
AC073476.4	0
AC073476.5	0
AC073487.1	3
AC073488.1	0
AC073488.10	0
AC073488.11	0
AC073488.2	0
AC073488.3	0
AC073488.4	0
AC073488.5	0
AC073488.6	0
AC073488.7	0
AC073488.8	0
AC073488.9	0
AC073508.1	0
AC073508.2	0
AC073508.3	267
AC073517.1	0
AC073520.1	0
AC073522.1	0
AC073525.1	0
AC073529.1	28
AC073530.1	0
AC073530.2	0
AC073534.1	0
AC073534.2	3
AC073539.1	0
AC073539.2	0
AC073539.3	0
AC073539.7	0
AC073544.1	0
AC073548.1	21
AC073548.2	1
AC073551.1	0
AC073569.1	0
AC073569.2	3
AC073569.3	8
AC073571.1	0
AC073573.1	0
AC073575.1	1
AC073575.2	0
AC073575.3	0
AC073575.4	12
AC073578.1	0
AC073578.2	0
AC073578.3	0
AC073578.4	0
AC073578.5	0
AC073581.1	0
AC073583.1	0
AC073585.1	141
AC073585.2	0
AC073587.1	0
AC073591.1	0
AC073592.1	0
AC073592.10	0
AC073592.2	1
AC073592.3	0
AC073592.4	0
AC073592.5	0
AC073592.6	0
AC073592.7	2
AC073592.8	0
AC073592.9	0
AC073593.1	0
AC073593.2	1
AC073594.1	0
AC073610.1	0
AC073610.2	0
AC073611.1	11
AC073612.1	0
AC073614.1	0
AC073621.1	0
AC073621.2	0
AC073626.1	0
AC073626.2	0
AC073632.1	0
AC073636.1	0
AC073641.1	0
AC073648.1	0
AC073648.2	0
AC073648.3	0
AC073648.4	0
AC073648.5	0
AC073648.6	0
AC073648.7	0
AC073651.1	0
AC073651.2	0
AC073655.1	1
AC073655.2	1
AC073655.3	0
AC073657.1	0
AC073657.2	5
AC073834.1	0
AC073840.1	1
AC073842.1	0
AC073842.2	19
AC073848.1	0
AC073850.1	0
AC073857.1	83
AC073861.1	1187
AC073862.1	0
AC073862.2	0
AC073862.3	0
AC073862.4	0
AC073862.5	0
AC073863.1	1
AC073864.1	0
AC073869.1	607
AC073869.2	1
AC073869.3	1
AC073869.4	0
AC073869.5	0
AC073869.6	0
AC073869.7	0
AC073869.8	0
AC073869.9	0
AC073873.1	0
AC073875.1	0
AC073878.1	2
AC073878.2	0
AC073896.1	0
AC073896.2	43
AC073896.3	3
AC073896.4	2
AC073896.5	0
AC073900.1	0
AC073901.1	0
AC073909.1	0
AC073910.1	2
AC073911.1	0
AC073911.2	2
AC073912.1	0
AC073912.2	1
AC073912.3	19
AC073912.4	0
AC073913.1	0
AC073913.2	0
AC073916.1	0
AC073934.1	5
AC073941.1	0
AC073941.2	0
AC073957.1	1
AC073957.2	1
AC073957.3	4
AC073964.1	0
AC073968.1	0
AC073968.2	0
AC073973.1	0
AC073987.1	0
AC074008.1	1
AC074008.2	0
AC074011.1	0
AC074019.1	4
AC074021.1	0
AC074024.1	0
AC074029.1	0
AC074029.2	0
AC074029.3	0
AC074029.4	0
AC074031.1	0
AC074032.1	8
AC074035.1	0
AC074043.1	22
AC074044.1	6
AC074050.1	0
AC074050.2	0
AC074050.3	0
AC074050.4	5
AC074051.1	0
AC074051.2	0
AC074051.3	0
AC074051.4	0
AC074051.5	0
AC074052.1	0
AC074052.2	0
AC074085.1	0
AC074085.2	0
AC074087.1	0
AC074087.2	0
AC074091.1	0
AC074091.2	0
AC074096.1	0
AC074099.1	0
AC074101.1	0
AC074117.1	257
AC074117.2	0
AC074121.1	0
AC074124.1	0
AC074131.1	0
AC074132.1	0
AC074133.1	0
AC074134.1	12
AC074135.1	2
AC074135.2	0
AC074138.1	10
AC074139.1	0
AC074140.1	0
AC074141.1	17
AC074143.1	0
AC074183.1	0
AC074183.2	0
AC074194.1	36
AC074194.2	15
AC074198.1	0
AC074198.2	0
AC074212.1	14
AC074237.1	0
AC074250.1	0
AC074254.1	0
AC074254.2	0
AC074255.1	0
AC074257.1	0
AC074257.2	0
AC074276.1	0
AC074276.2	0
AC074281.1	0
AC074281.2	0
AC074286.1	0
AC074290.1	0
AC074290.2	0
AC074325.1	0
AC074338.1	0
AC074344.1	1
AC074344.2	0
AC074348.1	0
AC074351.1	3
AC074366.1	0
AC074367.1	0
AC074367.2	0
AC074375.1	0
AC074386.1	6
AC074387.1	0
AC074389.1	0
AC074389.2	0
AC074389.3	0
AC074397.1	0
AC076966.1	0
AC076966.2	0
AC076968.1	0
AC076968.2	4
AC076971.1	0
AC077690.1	0
AC078776.1	0
AC078776.2	0
AC078777.1	4
AC078778.1	0
AC078785.1	8
AC078785.2	0
AC078785.3	0
AC078788.1	0
AC078788.2	0
AC078789.1	0
AC078795.1	0
AC078795.2	10
AC078795.3	3
AC078799.1	0
AC078802.1	0
AC078802.2	0
AC078809.1	0
AC078814.1	0
AC078814.2	0
AC078814.3	1
AC078816.1	3
AC078817.1	223
AC078818.1	2
AC078819.1	161
AC078820.1	1
AC078820.2	2
AC078820.3	0
AC078828.1	0
AC078841.1	0
AC078842.1	0
AC078842.2	0
AC078842.3	0
AC078843.1	0
AC078843.2	0
AC078845.1	0
AC078846.1	68
AC078850.1	0
AC078850.2	1
AC078851.1	0
AC078852.1	0
AC078852.2	2
AC078857.1	0
AC078860.1	0
AC078860.2	0
AC078860.3	2
AC078864.1	0
AC078865.1	0
AC078867.1	0
AC078874.1	0
AC078878.1	0
AC078878.2	0
AC078880.1	0
AC078880.2	0
AC078880.3	1
AC078880.4	0
AC078880.5	0
AC078881.1	183
AC078881.2	0
AC078882.1	0
AC078883.1	120
AC078883.2	3
AC078883.3	0
AC078886.1	0
AC078889.1	0
AC078899.1	87
AC078899.2	0
AC078899.3	0
AC078899.4	0
AC078899.5	0
AC078905.1	6
AC078906.1	2
AC078909.1	4
AC078909.2	0
AC078916.1	0
AC078918.1	0
AC078922.1	0
AC078923.1	3
AC078925.1	0
AC078925.2	0
AC078925.3	0
AC078925.4	0
AC078927.1	0
AC078929.1	0
AC078942.1	0
AC078950.1	0
AC078955.1	0
AC078962.1	0
AC078962.2	1
AC078962.3	0
AC078962.4	0
AC078962.5	0
AC078974.1	0
AC078980.1	0
AC078983.1	0
AC078991.1	1
AC078993.1	0
AC078994.1	0
AC079015.1	0
AC079030.1	0
AC079031.1	0
AC079031.2	0
AC079033.1	0
AC079035.1	0
AC079035.2	0
AC079052.1	0
AC079054.1	4
AC079061.1	0
AC079064.1	0
AC079070.1	0
AC079075.1	1
AC079080.1	0
AC079089.1	0
AC079089.2	1
AC079089.3	0
AC079089.4	0
AC079097.1	0
AC079112.1	0
AC079117.1	0
AC079118.1	0
AC079118.2	0
AC079135.1	0
AC079140.1	0
AC079140.2	76
AC079140.3	32
AC079140.4	1
AC079140.5	18
AC079140.6	2
AC079142.1	36
AC079145.1	16
AC079148.1	0
AC079148.2	0
AC079148.3	0
AC079150.1	0
AC079154.1	0
AC079160.1	0
AC079163.1	0
AC079163.2	0
AC079168.1	0
AC079169.1	1
AC079171.1	0
AC079173.1	0
AC079174.1	3
AC079174.2	4
AC079177.1	0
AC079178.1	0
AC079178.2	0
AC079193.1	0
AC079193.2	1
AC079200.1	0
AC079203.1	2
AC079203.2	0
AC079209.1	0
AC079209.2	0
AC079210.1	0
AC079226.1	0
AC079226.2	0
AC079228.1	40
AC079238.1	0
AC079248.1	0
AC079248.2	0
AC079248.3	0
AC079250.1	619
AC079296.1	0
AC079296.2	0
AC079298.1	0
AC079298.2	0
AC079298.3	1
AC079304.1	0
AC079305.1	0
AC079305.2	16
AC079305.3	0
AC079305.4	31
AC079310.1	0
AC079313.1	1
AC079313.2	1
AC079316.1	0
AC079316.2	0
AC079322.1	6
AC079325.1	0
AC079328.1	20
AC079328.2	0
AC079329.1	2
AC079331.1	1
AC079331.2	6
AC079331.3	1
AC079336.1	0
AC079336.2	11
AC079336.3	0
AC079336.4	0
AC079336.5	1
AC079336.6	3
AC079336.7	2
AC079340.1	0
AC079340.2	0
AC079340.3	0
AC079341.1	0
AC079341.2	0
AC079347.1	0
AC079349.1	0
AC079354.1	0
AC079354.2	2
AC079354.3	1
AC079355.1	0
AC079355.2	0
AC079360.1	0
AC079362.1	0
AC079363.1	0
AC079380.1	0
AC079382.1	0
AC079382.2	0
AC079384.1	0
AC079384.2	0
AC079385.1	0
AC079385.2	1
AC079385.3	0
AC079395.1	0
AC079395.2	0
AC079395.3	0
AC079403.1	0
AC079411.1	0
AC079414.1	0
AC079414.2	0
AC079414.3	22
AC079416.1	0
AC079416.2	9
AC079416.3	4
AC079416.4	0
AC079447.1	1
AC079448.1	0
AC079449.1	0
AC079456.1	0
AC079460.1	0
AC079460.2	0
AC079465.1	11
AC079466.1	0
AC079466.2	0
AC079467.1	0
AC079584.1	0
AC079584.2	0
AC079587.1	0
AC079594.1	0
AC079594.2	0
AC079597.1	0
AC079598.1	0
AC079598.2	0
AC079598.3	0
AC079598.4	0
AC079600.1	5
AC079600.2	0
AC079600.3	0
AC079601.1	0
AC079601.2	142
AC079601.3	16
AC079602.1	0
AC079602.2	0
AC079602.3	0
AC079602.4	0
AC079610.1	6
AC079610.2	0
AC079612.1	0
AC079612.2	0
AC079684.1	0
AC079684.2	5
AC079741.1	0
AC079742.1	1
AC079753.1	2
AC079753.2	2
AC079760.1	0
AC079760.2	1
AC079763.1	0
AC079766.1	3
AC079768.1	0
AC079768.2	0
AC079768.3	0
AC079768.4	0
AC079772.1	0
AC079775.1	0
AC079776.1	1
AC079776.2	0
AC079776.3	0
AC079776.4	0
AC079776.5	1
AC079777.1	1
AC079779.1	0
AC079779.2	0
AC079779.3	0
AC079779.4	0
AC079780.1	6
AC079781.1	0
AC079781.2	0
AC079781.3	0
AC079781.4	0
AC079781.5	7
AC079790.1	0
AC079790.2	1
AC079791.1	0
AC079793.1	0
AC079799.1	0
AC079799.2	0
AC079801.1	0
AC079802.1	0
AC079804.1	0
AC079804.2	0
AC079804.3	1
AC079807.1	29
AC079809.1	0
AC079822.1	0
AC079834.1	0
AC079834.2	4
AC079835.1	0
AC079841.1	0
AC079841.2	2
AC079848.1	33
AC079848.2	0
AC079851.1	1
AC079858.1	0
AC079866.1	0
AC079866.2	0
AC079880.1	0
AC079880.2	0
AC079880.3	0
AC079896.1	0
AC079905.1	10
AC079905.2	0
AC079906.1	0
AC079907.1	0
AC079907.2	0
AC079910.1	0
AC079915.1	1
AC079921.1	4
AC079921.2	42
AC079922.1	55
AC079922.2	20
AC079926.1	0
AC079942.1	0
AC079943.1	0
AC079943.2	0
AC079944.1	10
AC079944.2	65
AC079945.1	0
AC079945.2	0
AC079946.1	0
AC079949.1	2
AC079949.2	7
AC079949.3	0
AC079949.5	3
AC079949.6	0
AC079950.1	0
AC079950.2	0
AC079953.1	0
AC079969.1	0
AC079987.1	0
AC079988.1	0
AC080005.1	0
AC080011.1	0
AC080013.1	10
AC080013.2	0
AC080013.3	1
AC080013.4	0
AC080013.5	3
AC080013.6	6
AC080014.1	0
AC080023.1	24
AC080023.2	5
AC080037.1	5
AC080037.2	0
AC080038.1	0
AC080038.2	16
AC080038.3	1
AC080038.4	2
AC080068.1	0
AC080069.1	0
AC080075.1	4
AC080078.1	0
AC080078.2	0
AC080079.1	0
AC080079.2	0
AC080080.1	18
AC080080.2	0
AC080089.1	1
AC080089.2	0
AC080097.1	0
AC080097.2	0
AC080098.1	0
AC080100.1	0
AC080112.1	5
AC080112.2	93
AC080112.3	0
AC080112.4	1
AC080112.5	1
AC080125.1	6
AC080128.1	0
AC080128.2	1
AC080128.3	0
AC080129.1	0
AC080129.2	3
AC080132.1	0
AC080162.1	0
AC080188.1	0
AC080188.2	16
AC082650.1	0
AC082650.2	0
AC082651.1	1
AC082651.2	0
AC082651.3	0
AC082651.4	0
AC083760.1	0
AC083795.1	0
AC083795.2	0
AC083798.1	0
AC083798.2	63
AC083799.1	197
AC083799.2	0
AC083800.1	0
AC083801.1	0
AC083801.2	0
AC083805.1	0
AC083805.2	0
AC083805.3	0
AC083806.1	0
AC083806.2	0
AC083806.3	1
AC083809.1	49
